키워드,언론사,기사명,날짜,URL
세계일보,‘제주형 주거복지’ 순항… 청년·신혼·고령자에 공공주택 1만호 공급,2021.09.18.,http://www.segye.com/content/html/2021/09/17/20210917513250.html?OutUrl=naver,고령 계층 지원
유교신문,"태백시, 취약계층을 위한 공공이불빨래방 조성",2021-09-25,http://www.cfnews.kr/news.aspx/51574,고령 계층 지원
헤드라인제주,"제주, 공공주택 6976세대 공급…취약계층 주거복지 206억 지원",2021.09.15.,http://www.headlinejeju.co.kr/news/articleView.html?idxno=462600,고령 계층 지원
중앙일보,일하는 사람 5명 중 한명은 60세 이상…고령 취업 사상 최대,2021.09.19.,https://www.joongang.co.kr/article/25008407,고령 계층 지원
뉴스1,"국정원, 홈페이지 6년 만에 새단장…정보취약계층 접근성 강화",2021.09.14.,https://www.news1.kr/articles/?4433831,고령 계층 지원
이투데이,"BC카드, 추석 맞아 취약계층에 ‘건강식품 꾸러미’ 지원",2021.09.14.,https://www.etoday.co.kr/news/view/2062106,고령 계층 지원
아주경제,"박형준 부산시장, “고령친화 15분 행복도시 부산 조성”",2021.09.09.,http://www.ajunews.com/view/20210909145224712,고령 계층 지원
뉴스워커,"전남도, 주거약자 계층별 맞춤형 주거복지사업으로... '사각지대' 해소",2021.09.21.,http://www.newsworker.co.kr/news/articleView.html?idxno=130086,고령 계층 지원
비욘드포스트,"굿네이버스·한국철도공사, 취약계층 주거환경 개선 후원",2021.09.17.,http://www.beyondpost.co.kr/view.php?ud=20210917092231228546a9e4dd7f_30,고령 계층 지원
대경일보,"포항시 장기면, 고령자 대상 방문 국민지원금 신청 운영",2021.09.15.,http://www.dkilbo.com/news/articleView.html?idxno=344568,고령 계층 지원
뉴스핌,NH농협 평택시지부 취약계층 지원,2021.09.14.,http://www.newspim.com/news/view/20210914000981,고령 계층 지원
충청일보,"농협 충주시지부-북충주농협, 취약계층 생필품 지원",2021.09.14.,https://www.ccdailynews.com/news/articleView.html?idxno=2082107,고령 계층 지원
동아일보,“정보 취약계층 품는 스마트 복지로”,A25면 1단,https://www.donga.com/news/article/all/20210908/109162065/1,고령 계층 지원
에너지데일리,모든 세대·계층 '공간복지' 지역사회 기반 보장 추진,2021.09.12.,http://www.energydaily.co.kr/news/articleView.html?idxno=121470,고령 계층 지원
머니투데이,日 노인주거 지원 할 때…한국 노인은 치솟는 월세 감당 못해 이곳으로,2021.09.13.,http://news.mt.co.kr/mtview.php?no=2021091220271975309,고령 계층 지원
더나은미래,"사랑의열매, 명절 맞아 폐지 수거 고령자에 식료품 전달",2021.09.15.,https://futurechosun.com/?p=59002,고령 계층 지원
머니투데이,"고령화 못 따라오는 노인 정책… ""청년주택은 늘리는데 노인주택은 왜""",2021.09.12.,http://news.mt.co.kr/mtview.php?no=2021090910083980752,고령 계층 지원
서울신문,사회적기업 3000곳 돌파… 코로나에도 취약계층 10% 더 뽑았다,11면 TOP,https://www.seoul.co.kr/news/newsView.php?id=20210909011008&wlog_tag3=naver,고령 계층 지원
노컷뉴스,"취약계층·지역사회 공헌하는 사회적기업, 3천 개 넘었다",2021.09.08.,https://www.nocutnews.co.kr/news/5620937,고령 계층 지원
프레시안,"고령군, 희망근로지원사업․고령군일자리사업 실시",2021.09.02.,https://www.pressian.com/pages/articles/2021090211122674513?utm_source=naver&utm_medium=search,고령 계층 지원
중기이코노미,사회적기업 3000곳 넘어…취업 취약계층 고용,2021.09.08.,http://www.junggi.co.kr/article/articleView.html?no=27460,고령 계층 지원
데일리한국,"울릉읍사무소, 취약계층에 마스크 6000개 전달",2021.09.01.,https://daily.hankooki.com/lpage/society/202109/dh20210901111703148520.htm?s_ref=nv,고령 계층 지원
경상매일신문,"고령군, 움츠러든 민생경제 회복 ‘잰걸음’",2021.09.09.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=349329&part_idx=7,고령 계층 지원
아시아경제,"성동구, 고령자·장애인 등 코로나 상생 지원금 ‘찾아가는 신청 서비스'",2021.09.06.,https://view.asiae.co.kr/article/2021090607254826068,고령 계층 지원
서울경제,수는 늘고 수익은 줄고···재정 지원 시급한 ‘착한 기업’,2021.09.08.,https://www.sedaily.com/NewsView/22RDUMBLR4,고령 계층 지원
시사뉴스24,"천안농협, 80대 돌봄대상 도배·장판 교체…윤노순 조합장 “취약계층 지속 지...",2021.09.15.,http://www.sisanews24.co.kr/6574,고령 계층 지원
일요신문,'경북도 인구정책 대토론회'…저출산·고령화·청년인구 유출 해결 머리 맞대,2021.09.05.,https://ilyo.co.kr/?ac=article_view&entry_id=411054,고령 계층 지원
전국매일신문,"서울북부보훈청, 취약계층 국가유공자에 명절 위문품 전달",2021.09.17.,http://www.jeonmae.co.kr/news/articleView.html?idxno=855356,고령 계층 지원
인천일보,"만수5동 마을복지추진단, 취약계층 건강꾸러미 선물",2021.09.14.,http://www.incheonilbo.com/news/articleView.html?idxno=1112689,고령 계층 지원
CMB대전방송,"[CMB집중토론] 대전 주거복지지원센터, 주거취약계층에 해결책 될까",2021.09.10.,http://www.cmbdj.co.kr/ab-991-20364,고령 계층 지원
아주경제,"NH농협 평택시지부·팽성농협, 벽지와 장판 교체 등 취약계층 농촌현장봉사",2021.09.10.,http://www.ajunews.com/view/20210910135648264,고령 계층 지원
국제뉴스,"안동준법지원센터, '소외계층 농촌일손돕기' 봉사활동 실시",2021.09.03.,http://www.gukjenews.com/news/articleView.html?idxno=2301966,고령 계층 지원
시민일보,"하나금융공익재단-고려대의료원, '노인의료복지·취약계층 보건 의료향상' 위...",2021.09.12.,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065572871835297,고령 계층 지원
뉴스경남,"양산시 양주동지사협, 취약계층 생필품 지원",2021.09.07.,http://www.newsgn.com/312620,고령 계층 지원
아시아경제,"[아시아초대석]정희수 ""보험 취약계층에 새 안전망…공공의료데이터 개방해야...",26면 TOP,https://view.asiae.co.kr/article/2021090311265998295,고령 계층 지원
농민신문,"완주 봉동농협·전북농협, 추석맞이 취약계층을 위한 ‘사랑의 반찬나눔’",2021.09.17.,http://www.nongmin.com/article/ar_detail.htm?seq_id=344881,고령 계층 지원
시민일보,"성동구, 코로나 국민지원금 신청 서비스··· 13일부터 취약계층 방문",2021.09.07.,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065590310309000,고령 계층 지원
경인매일,"희망조약돌, 시흥시노인종합복지관 안전취약계층 위한 스마트 도어락 전달",2021.09.13.,http://www.kmaeil.com/news/articleView.html?idxno=304779,고령 계층 지원
강원도민일보,"[동해]""초고령 사회 세상을 밝히는 동해와 같은 복지인프라가 만들어지길""",2021.09.04.,http://www.kado.net/news/articleView.html?idxno=1089783,고령 계층 지원
뉴시스,'생계급여 부양의무자 기준' 없앴다…60년 만에 폐지,2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598207&cID=10201&pID=10200,고령 계층 지원
브레이크뉴스,"울릉군, 취약계층 안전보호 위해 마스크 지원",2021.09.02.,http://www.breaknews.com/831063,고령 계층 지원
뉴시스,"경기도, 18일까지 '경기형 예비사회적기업' 모집",13분 전,http://www.newsis.com/view/?id=NISX20211001_0001599972&cID=10803&pID=14000,고령 계층 지원
경북일보,"울릉읍, 3일까지 취약계층에 안전보호 마스크 지원",2021.09.02.,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2082589,고령 계층 지원
한국일보,"홍남기 ""10월 중 '위드 코로나' 시도… 손실보상금도 지급""",2021-09-30,https://hankookilbo.com/News/Read/A2021093007450001437?did=NA,고령 계층 지원
대구일보,"울릉읍사무소, 지역 취약계층 안전 보호 위한 마스크 지원 나서",2021.09.05.,http://www.idaegu.com/newsView/idg202109010088,고령 계층 지원
대경일보,"고령군, 취약계층 생계안정 지원 총력",2021.08.02.,http://www.dkilbo.com/news/articleView.html?idxno=340512,고령 계층 지원
대구일보,"고령군 개진면 지역사회보장협의체, 추석명절 맞이 ‘행복 만땅 생필품 지원사...",2021.09.09.,http://www.idaegu.com/newsView/idg202109090017,고령 계층 지원
뉴스제주,"제주농협, 고령·취약계층 농업인 폭염예방 물품 지원",2021.08.13.,http://www.newsjeju.net/news/articleView.html?idxno=366368,고령 계층 지원
KTV국민방송,사회적기업 3천 곳 넘어···취약계층·지역사회 지원,2021.09.08.,https://www.ktv.go.kr/content/view?content_id=632750,고령 계층 지원
뉴스1,"광주신세계, 고령취약계층 시원한 여름나기 후원금 1000만원 지원",2021.07.27.,https://www.news1.kr/articles/?4384959,고령 계층 지원
NSP통신,"청양군, 김장배추 모종 생산…고령농가·취약계층 지원",2021.08.09.,http://www.nspna.com/news/?mode=view&newsid=519563,고령 계층 지원
광주매일신문,"광주 자치구, 디지털 취약계층 교육 앞장",2021.09.06.,http://www.kjdaily.com/article.php?aid=1630928271555488005,고령 계층 지원
조세일보,"홍남기 ""소상공인 손실보상, 10월말 지급…차질없이 준비""",2021-09-30,http://www.joseilbo.com/news/news_read.php?uid=434338&class=1&grp=,고령 계층 지원
비마이너,기금 고갈 이유로 '주거취약계층 보증금' 지원 중단한 국토부,2021.08.20.,https://www.beminor.com/news/articleView.html?idxno=21843,고령 계층 지원
오마이뉴스,"울산, 취약층 추위·더위 고통 없는 에너지복지도시로 간다",2021-09-30,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002777083&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,고령 계층 지원
한국경제,'정치권이 전국민에 현금 뿌릴 근거 만들어라' 기재부에 지시한 與 [여기는 논...,57분 전,https://www.hankyung.com/politics/article/202110018264i,고령 계층 지원
쿠키뉴스,"[금융소식] 경남농협, 농촌 취약계층 안전한 여름나기 긴급지원",2021.08.05.,http://www.kukinews.com/newsView/kuk202108050316,고령 계층 지원
경북신문,"경주시 황성동행정복지센터, 추석연휴 맞이 취약계층 후원물품 전달",2021.09.08.,http://www.kbsm.net/default/index_view_page.php?idx=322977&part_idx=320,고령 계층 지원
매일신문,"홍남기 ""10월 중 '위드코로나' 시도 통해 방역·경제 조화에 주력""",2021-09-30,https://news.imaeil.com/page/view/2021093014222864255,고령 계층 지원
경북신문,"포항 죽도동행정복지센터, `취약계층 식사지원` 업무협약 체결",2021.09.07.,http://www.kbsm.net/default/index_view_page.php?idx=322862&part_idx=320,고령 계층 지원
뷰어스,"NH농협생명, 코로나19 취약계층을 위한 꾸러미 나눔",2021.09.02.,http://theviewers.co.kr/View.aspx?No=2023635,고령 계층 지원
FETV,"예보, 고령자 등을 위한 '착오송금 반환지원 상담센터' 설치",2021.07.05.,https://www.fetv.co.kr/news/article.html?no=90090,고령 계층 지원
뉴시스,"울산 동구, 취약계층 등에 폭염 대책 추진",2021.08.05.,http://www.newsis.com/view/?id=NISX20210805_0001539288&cID=10899&pID=10800,고령 계층 지원
뉴시스,[창원소식]경남농협 '깨끗하고 아름다운 농촌마을 가꾸기' 등,2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001599441&cID=10812&pID=10800,고령 계층 지원
메가경제,"BC카드, 추석 맞아 취약계층 2800세대에 ‘건강식품 꾸러미’ 전달",2021.09.13.,http://www.megaeconomy.co.kr/news/newsview.php?ncode=1065574255286837,고령 계층 지원
머니투데이,"고령화 못 따라오는 노인 정책… ""청년주택은 늘리는데 노인주택은 왜""",2021.09.12.,http://news.mt.co.kr/mtview.php?no=2021090910083980752,고령 계층 지원
서울신문,사회적기업 3000곳 돌파… 코로나에도 취약계층 10% 더 뽑았다,11면 TOP,https://www.seoul.co.kr/news/newsView.php?id=20210909011008&wlog_tag3=naver,고령 계층 지원
노컷뉴스,"취약계층·지역사회 공헌하는 사회적기업, 3천 개 넘었다",2021.09.08.,https://www.nocutnews.co.kr/news/5620937,고령 계층 지원
인사이드 비나,"하나금융공익재단-고대의료원, 취약계층 보건의료복지 향상 활동나서",2021.09.10.,http://www.insidevina.com/news/articleView.html?idxno=17926,고령 계층 지원
프레시안,"고령군, 희망근로지원사업․고령군일자리사업 실시",2021.09.02.,https://www.pressian.com/pages/articles/2021090211122674513?utm_source=naver&utm_medium=search,고령 계층 지원
중기이코노미,사회적기업 3000곳 넘어…취업 취약계층 고용,2021.09.08.,http://www.junggi.co.kr/article/articleView.html?no=27460,고령 계층 지원
아시아경제,"80세 노인 본인명의 휴대전화 없어 재난지원금 못받아…""개선 권고""",2021-09-29,https://view.asiae.co.kr/article/2021092908554060397,고령 계층 지원
데일리한국,"울릉읍사무소, 취약계층에 마스크 6000개 전달",2021.09.01.,https://daily.hankooki.com/lpage/society/202109/dh20210901111703148520.htm?s_ref=nv,고령 계층 지원
경상매일신문,"고령군, 움츠러든 민생경제 회복 ‘잰걸음’",2021.09.09.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=349329&part_idx=7,고령 계층 지원
경상매일신문,"고령군, 움츠러든 민생경제 회복 ‘잰걸음’",2021.09.09.,http://www.ksmnews.co.kr/default/index_view_page.php?idx=349329&part_idx=7,고령 계층 지원
한국정경신문,"하나금융공익재단, 고려대의료원과 ‘노인의료복지·취약계층 보건 의료향상’...",2021.09.10.,http://kpenews.com/View.aspx?No=2033040,고령 계층 지원
브레이크뉴스,"고령군, 지역일자리 활성화를 위해 최선",2021.09.02.,http://www.breaknews.com/831219,고령 계층 지원
아시아경제,"성동구, 고령자·장애인 등 코로나 상생 지원금 ‘찾아가는 신청 서비스'",2021.09.06.,https://view.asiae.co.kr/article/2021090607254826068,고령 계층 지원
신아일보,"포항시 장기면, 고령자 대상 ‘찾아가는 국민지원금 신청 서비스’",2021.09.15.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1461198,고령 계층 지원
뉴시스,"권익위 ""본인 명의 휴대폰 없어도 재난금 신청 가능해야""",2021-09-29,http://www.newsis.com/view/?id=NISX20210929_0001596609&cID=10301&pID=10300,고령 계층 지원
서울경제,수는 늘고 수익은 줄고···재정 지원 시급한 ‘착한 기업’,2021.09.08.,https://www.sedaily.com/NewsView/22RDUMBLR4,고령 계층 지원
위키트리,"울릉군 울릉읍사무소, 취약계층 안전보호 위해 마스크 지원",2021.09.01.,https://www.wikitree.co.kr/articles/684545,고령 계층 지원
시사뉴스24,"천안농협, 80대 돌봄대상 도배·장판 교체…윤노순 조합장 “취약계층 지속 지...",2021.09.15.,http://www.sisanews24.co.kr/6574,고령 계층 지원
일요신문,'경북도 인구정책 대토론회'…저출산·고령화·청년인구 유출 해결 머리 맞대,2021.09.05.,https://ilyo.co.kr/?ac=article_view&entry_id=411054,고령 계층 지원
일요신문,'경북도 인구정책 대토론회'…저출산·고령화·청년인구 유출 해결 머리 맞대,2021.09.05.,https://ilyo.co.kr/?ac=article_view&entry_id=411054,고령 계층 지원
워크투데이,"하나금융공익재단 - 고려대의료원, '노인의료복지·취약계층 보건 의료향상' ...",2021.09.10.,http://www.worktoday.co.kr/news/articleView.html?idxno=18363,고령 계층 지원
NSP통신,"울릉군 울릉읍, 취약계층에 ‘마스크’ 지원",2021.09.01.,http://www.nspna.com/news/?mode=view&newsid=523859,고령 계층 지원
대경일보,"고령군, 행정환경 변화 대응 군정시책 점검",2021.09.09.,http://www.dkilbo.com/news/articleView.html?idxno=343977,고령 계층 지원
전국매일신문,"서울북부보훈청, 취약계층 국가유공자에 명절 위문품 전달",2021.09.17.,http://www.jeonmae.co.kr/news/articleView.html?idxno=855356,고령 계층 지원
인천일보,"만수5동 마을복지추진단, 취약계층 건강꾸러미 선물",2021.09.14.,http://www.incheonilbo.com/news/articleView.html?idxno=1112689,고령 계층 지원
시사뉴스,"고령군, 희망근로지원사업․고령군일자리사업 지난 1일부터 실시",2021.09.02.,https://www.sisa-news.com/news/article.html?no=170283,고령 계층 지원
CMB대전방송,"[CMB집중토론] 대전 주거복지지원센터, 주거취약계층에 해결책 될까",2021.09.10.,http://www.cmbdj.co.kr/ab-991-20364,고령 계층 지원
아주경제,"NH농협 평택시지부·팽성농협, 벽지와 장판 교체 등 취약계층 농촌현장봉사",2021.09.10.,http://www.ajunews.com/view/20210910135648264,고령 계층 지원
국제뉴스,"안동준법지원센터, '소외계층 농촌일손돕기' 봉사활동 실시",2021.09.03.,http://www.gukjenews.com/news/articleView.html?idxno=2301966,고령 계층 지원
국제뉴스,"안동준법지원센터, '소외계층 농촌일손돕기' 봉사활동 실시",2021.09.03.,http://www.gukjenews.com/news/articleView.html?idxno=2301966,고령 계층 지원
시민일보,"인천시 남동구 만수5동 마을추진단, 추석맞이 취약계층 건강꾸러미 지원",2021.09.14.,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065586805176182,고령 계층 지원
시민일보,"하나금융공익재단-고려대의료원, '노인의료복지·취약계층 보건 의료향상' 위...",2021.09.12.,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065572871835297,고령 계층 지원
뉴스경남,"양산시 양주동지사협, 취약계층 생필품 지원",2021.09.07.,http://www.newsgn.com/312620,고령 계층 지원
아시아경제,"[아시아초대석]정희수 ""보험 취약계층에 새 안전망…공공의료데이터 개방해야...",26면 TOP,https://view.asiae.co.kr/article/2021090311265998295,고령 계층 지원
농민신문,"완주 봉동농협·전북농협, 추석맞이 취약계층을 위한 ‘사랑의 반찬나눔’",2021.09.17.,http://www.nongmin.com/article/ar_detail.htm?seq_id=344881,고령 계층 지원
대경일보,"고령군, 경제회복 위한 일자리 창출",2021.09.02.,http://www.dkilbo.com/news/articleView.html?idxno=343300,고령 계층 지원
시민일보,"성동구, 코로나 국민지원금 신청 서비스··· 13일부터 취약계층 방문",2021.09.07.,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065590310309000,고령 계층 지원
경인매일,"희망조약돌, 시흥시노인종합복지관 안전취약계층 위한 스마트 도어락 전달",2021.09.13.,http://www.kmaeil.com/news/articleView.html?idxno=304779,고령 계층 지원
천지일보,"권익위 ""본인명의 휴대전화 없으면 재난지원금 신청 어려워… 방법 개선해야""",2021-09-30,http://www.newscj.com/news/articleView.html?idxno=906065,고령 계층 지원
천지일보,"권익위 ""본인명의 휴대전화 없으면 재난지원금 신청 어려워… 방법 개선해야""",2021-09-30,http://www.newscj.com/news/articleView.html?idxno=906065,고령 계층 지원
강원도민일보,"[동해]""초고령 사회 세상을 밝히는 동해와 같은 복지인프라가 만들어지길""",2021.09.04.,http://www.kado.net/news/articleView.html?idxno=1089783,고령 계층 지원
뉴시스,'생계급여 부양의무자 기준' 없앴다…60년 만에 폐지,2021-09-30,http://www.newsis.com/view/?id=NISX20210930_0001598207&cID=10201&pID=10200,고령 계층 지원
브레이크뉴스,"울릉군, 취약계층 안전보호 위해 마스크 지원",2021.09.02.,http://www.breaknews.com/831063,고령 계층 지원
경북매일신문,"울릉도 취약계층 안전 위해 마스크지원…울릉읍사무소, 지역사회보장협의회 동...",2021.09.01.,http://www.kbmaeil.com/news/articleView.html?idxno=908087,고령 계층 지원
뉴시스,"경기도, 18일까지 '경기형 예비사회적기업' 모집",13분 전,http://www.newsis.com/view/?id=NISX20211001_0001599972&cID=10803&pID=14000,고령 계층 지원
경북일보,"울릉읍, 3일까지 취약계층에 안전보호 마스크 지원",2021.09.02.,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2082589,고령 계층 지원
한국일보,"홍남기 ""10월 중 '위드 코로나' 시도… 손실보상금도 지급""",2021-09-30,https://hankookilbo.com/News/Read/A2021093007450001437?did=NA,고령 계층 지원
대구일보,"울릉읍사무소, 지역 취약계층 안전 보호 위한 마스크 지원 나서",2021.09.05.,http://www.idaegu.com/newsView/idg202109010088,고령 계층 지원
대경일보,"고령군, 취약계층 생계안정 지원 총력",2021.08.02.,http://www.dkilbo.com/news/articleView.html?idxno=340512,고령 계층 지원
대구일보,"울릉읍사무소, 지역 취약계층 안전 보호 위한 마스크 지원 나서",2021.09.05.,http://www.idaegu.com/newsView/idg202109010088,고령 계층 지원
대경일보,"고령군, 취약계층 생계안정 지원 총력",2021.08.02.,http://www.dkilbo.com/news/articleView.html?idxno=340512,고령 계층 지원
대구일보,"고령군 개진면 지역사회보장협의체, 추석명절 맞이 ‘행복 만땅 생필품 지원사...",2021.09.09.,http://www.idaegu.com/newsView/idg202109090017,고령 계층 지원
뉴스제주,"제주농협, 고령·취약계층 농업인 폭염예방 물품 지원",2021.08.13.,http://www.newsjeju.net/news/articleView.html?idxno=366368,고령 계층 지원
KTV국민방송,사회적기업 3천 곳 넘어···취약계층·지역사회 지원,2021.09.08.,https://www.ktv.go.kr/content/view?content_id=632750,고령 계층 지원
뉴스1,"광주신세계, 고령취약계층 시원한 여름나기 후원금 1000만원 지원",2021.07.27.,https://www.news1.kr/articles/?4384959,고령 계층 지원
파이낸셜뉴스,"경기도, 18일까지 '경기형 예비사회적기업' 모집",26분 전,http://www.fnnews.com/news/202110011003546943,고령 계층 지원
NSP통신,"청양군, 김장배추 모종 생산…고령농가·취약계층 지원",2021.08.09.,http://www.nspna.com/news/?mode=view&newsid=519563,고령 계층 지원
광주매일신문,"광주 자치구, 디지털 취약계층 교육 앞장",2021.09.06.,http://www.kjdaily.com/article.php?aid=1630928271555488005,고령 계층 지원
조세일보,"홍남기 ""소상공인 손실보상, 10월말 지급…차질없이 준비""",2021-09-30,http://www.joseilbo.com/news/news_read.php?uid=434338&class=1&grp=,고령 계층 지원
조세일보,"홍남기 ""소상공인 손실보상, 10월말 지급…차질없이 준비""",2021-09-30,http://www.joseilbo.com/news/news_read.php?uid=434338&class=1&grp=,고령 계층 지원
광남일보,"광주신세계, 고령취약계층 여름나기 후원금 전달",2021.07.27.,http://www.gwangnam.co.kr/read.php3?aid=1627370035392448015,고령 계층 지원
